region,rubric,count,rank
Красноярский край,Кафе,158,1.0
Красноярский край,Ресторан,157,2.0
Красноярский край,Гостиница,133,3.0
Красноярский край,"Бар, паб",64,4.0
Красноярский край,Быстрое питание,58,5.0
Красноярский край,Супермаркет,57,6.0
Красноярский край,Магазин продуктов,51,7.0
Красноярский край,Салон красоты,44,8.0
Красноярский край,Музей,34,9.0
Крым,Гостиница,2,1.0
Крым,Ресторан,2,2.0
Крым,Суши-бар,2,3.0
Крым,Автобусные перевозки,1,4.0
Крым,Баня,1,5.0
Крым,Быстрое питание,1,6.0
Крым,Заказ автомобилей,1,7.0
Крым,Кофе с собой,1,8.0
Крым,Монастырь,1,9.0
Курган,Кафе,39,1.0
Курган,Гостиница,34,2.0
Курган,Ресторан,33,3.0
Курган,"Бар, паб",18,4.0
Курган,Магазин продуктов,17,5.0
Курган,Быстрое питание,12,6.0
Курган,Салон красоты,12,7.0
Курган,Супермаркет,12,8.0
Курган,"Медцентр, клиника",8,9.0
Курганская область,Кафе,28,1.0
Курганская область,Ресторан,19,2.0
Курганская область,Гостиница,16,3.0
Курганская область,Магазин продуктов,10,4.0
Курганская область,Супермаркет,10,5.0
Курганская область,Быстрое питание,8,6.0
Курганская область,Доставка еды и обедов,7,7.0
Курганская область,Пиццерия,7,8.0
Курганская область,Салон красоты,7,9.0
Курск,Ресторан,159,1.0
Курск,Кафе,133,2.0
Курск,Гостиница,127,3.0
Курск,"Бар, паб",65,4.0
Курск,Магазин продуктов,61,5.0
Курск,Супермаркет,57,6.0
Курск,Салон красоты,56,7.0
Курск,Быстрое питание,44,8.0
Курск,"Автосервис, автотехцентр",43,9.0
Курская область,Кафе,40,1.0
Курская область,Ресторан,35,2.0
Курская область,Гостиница,27,3.0
Курская область,Быстрое питание,17,4.0
Курская область,Салон красоты,17,5.0
Курская область,"Бар, паб",14,6.0
Курская область,Ногтевая студия,13,7.0
Курская область,Магазин продуктов,10,8.0
Курская область,"Автосервис, автотехцентр",9,9.0
Курский район,Кафе,9,1.0
Курский район,Магазин продуктов,6,2.0
Курский район,Ресторан,5,3.0
Курский район,"Бар, паб",3,4.0
Курский район,Быстрое питание,3,5.0
Курский район,Гостиница,3,6.0
Курский район,Железнодорожная станция,3,7.0
Курский район,Магазин алкогольных напитков,3,8.0
Курский район,Банкетный зал,2,9.0
Ленинградская обл.,Ресторан,12,1.0
Ленинградская обл.,Кафе,11,2.0
Ленинградская обл.,Пиццерия,7,3.0
Ленинградская обл.,Доставка еды и обедов,6,4.0
Ленинградская обл.,Магазин продуктов,5,5.0
Ленинградская обл.,Парикмахерская,5,6.0
Ленинградская обл.,"Бар, паб",4,7.0
Ленинградская обл.,Быстрое питание,4,8.0
Ленинградская обл.,Гостиница,4,9.0
Ленинградская область,Кафе,926,1.0
Ленинградская область,Ресторан,924,2.0
Ленинградская область,Гостиница,755,3.0
Ленинградская область,Магазин продуктов,374,4.0
Ленинградская область,"Бар, паб",324,5.0
Ленинградская область,Салон красоты,324,6.0
Ленинградская область,Супермаркет,308,7.0
Ленинградская область,Быстрое питание,307,8.0
Ленинградская область,Доставка еды и обедов,257,9.0
Липецк,Кафе,199,1.0
Липецк,Ресторан,183,2.0
Липецк,Гостиница,154,3.0
Липецк,Магазин продуктов,76,4.0
Липецк,Супермаркет,65,5.0
Липецк,"Бар, паб",62,6.0
Липецк,Быстрое питание,62,7.0
Липецк,Пиццерия,45,8.0
Липецк,Салон красоты,45,9.0
Липецкая область,Гостиница,77,1.0
Липецкая область,Кафе,76,2.0
Липецкая область,Ресторан,61,3.0
Липецкая область,Магазин продуктов,39,4.0
Липецкая область,Быстрое питание,36,5.0
Липецкая область,Супермаркет,32,6.0
Липецкая область,Парк культуры и отдыха,24,7.0
Липецкая область,Кофейня,22,8.0
Липецкая область,"Бар, паб",21,9.0
Липецкий район,Ресторан,13,1.0
